0 "|" "ActionIQ" "|" "actioniq" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2016/09/Copy-of-Copy-of-Acquired-by-1.png" "|" "skip" "|" "ActionIQ is a New York, NY based company building the next generation of Enterprise Intelligence Systems, utilizing cutting edge distributed systems & UI technologies."
25 "|" "ShiftOne" "|" "shiftone" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2016/12/ShiftOne-logo.png" "|" "skip" "|" "ShiftOne is a Washington, DC based learning management system focused on driving ROI from front line employees in the restaurant, hospitality, and retail spaces."
26 "|" "StayTuned" "|" "staytuned" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2019/02/2019-02-20_10-37-44.png" "|" "skip" "|" "StayTuned is a New York, NY based all-in-one distribution platform that empowers video creators to seamlessly optimize, push and measure video across all channels, from one place."
27 "|" "StreetCred" "|" "streetcred" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2018/07/Streetcred_logo_vertical-1024x714.jpg" "|" "skip" "|" "StreetCred is a New York, NY based decentralized point-of-interest (POI) marketplace that enables the collection, verification, and distribution of fresh, accurate location data for places people care about worldwide."
28 "|" "SupplyShift" "|" "supplyshift" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2017/10/SS_Logo-1-1024x305.jpg" "|" "skip" "|" "SupplyShift is a Santa Cruz, CA based software platform that provides visibility, collaboration, benchmarking, and risk management tools to enable large companies to better manage their supply chain networks."
29 "|" "SwiftShift" "|" "swift-shift" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2016/12/swiftshift.jpg" "|" "skip" "|" "SwiftShift is a New York, NY based workforce management platform for shift workers specifically operating in the home healthcare industry."
30 "|" "TrackMaven" "|" "trackmaven" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2016/12/2019-02-20_11-09-17-1024x469.png" "|" "skip" "|" "TrackMaven is a Washington, DC based competitive intelligence platform for marketers and brands."
31 "|" "Transfix" "|" "transfix" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2016/12/2018-12-05_9-26-07.png" "|" "skip" "|" "Transfix is a New York, NY based trucking marketplace and software company that seeks to automate the long haul freight brokerage business."
32 "|" "VNDLY" "|" "vndly" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2017/10/vndly-1024x1024.png" "|" "skip" "|" "VNDLY is a Cincinnati, OH based technology platform and marketplace designed to help hiring managers and vendor account management teams come together."
33 "|" "Voxy" "|" "voxy" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2017/03/voxy-logo-highres-1024x239.jpg" "|" "skip" "|" "Voxy is a New York, NY based learning management system that provides institutions with an adaptive, dynamic curriculum and personalized instruction."
34 "|" "Wizeline" "|" "wizeline" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2016/12/Untitled.001.jpeg" "|" "skip" "|" "Wizeline is a San Francisco, CA based insights and optimization company whose suite of products helps companies increase product engagement."
35 "|" "Zeus Living" "|" "zeus" "|" "skip" "|" "https://bowerycap.com/wp-content/uploads/2016/12/zeus_logo.jpg" "|" "skip" "|" "Zeus Living is a San Francisco, CA based marketplace focused on helping corporations find the easiest way to rent furnished housing."
